condition,n,real,fake,auroc,average_precision,accuracy,balanced_accuracy,precision,recall_tpr,fpr,specificity,f1,tn,fp,fn,tp,threshold,auroc_change_from_clean,average_precision_change_from_clean,balanced_accuracy_change_from_clean
clean,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
jpeg_q90,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
jpeg_q70,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
jpeg_q50,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
jpeg_q30,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
blur_0.5,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
blur_1,200,68,132,0.9977718360071302,0.9990031897926634,0.94,0.9545454545454546,1.0,0.9090909090909091,0.0,1.0,0.9523809523809523,68,0,12,120,0.011914256261661649,-0.002228163992869847,-0.0009968102073365515,-0.045454545454545414
blur_2,200,68,132,0.9503119429590018,0.9674868915181223,0.34,0.5,0.0,0.0,0.0,1.0,0.0,68,0,132,0,0.011914256261661649,-0.04968805704099821,-0.03251310848187772,-0.5
resize_0.5x,200,68,132,0.9989973262032086,0.9995164410058027,0.805,0.8522727272727273,1.0,0.7045454545454546,0.0,1.0,0.8266666666666667,68,0,39,93,0.011914256261661649,-0.00100267379679142,-0.0004835589941972751,-0.1477272727272727
resize_0.25x,200,68,132,0.9937611408199644,0.9972637253538633,0.34,0.5,0.0,0.0,0.0,1.0,0.0,68,0,132,0,0.011914256261661649,-0.0062388591800356386,-0.0027362746461366827,-0.5
noise_0.02,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
noise_0.05,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
noise_0.1,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
color_pm10pct,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
color_pm20pct,200,68,132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,68,0,0,132,0.011914256261661649,0.0,0.0,0.0
crop_0.8x,200,68,132,1.0,1.0,0.995,0.9962121212121212,1.0,0.9924242424242424,0.0,1.0,0.9961977186311787,68,0,1,131,0.011914256261661649,0.0,0.0,-0.0037878787878787845
